mbirmi,tëggin,xeet,nettalin_fr,nettalin_wo
damm-damm,[dʌm:dʌm:],nom,fracture,"Dafa doon fo, moo ko indil ñaari damm-damm ci tànk."
dammel,[dʌm:el],nom,roi du Cayor,Lat-Joor dammel bu mag la woon.
dammel-teeñ,[dʌm:elte:ɲ],nom,roi du Cayor et du Baol,Lat-Sukaabe dammel-teeñ la woon.
daŋ,[dʌŋ],verbe,"être tendu, serré",Buum gi daŋ na ci baatu xar mi.
daŋar,[dʌŋʌr],nom,venin,Bu la jaan màttee daŋaraam dugg la.
daqaar,[dʌqa:r],nom,tamarinier,Demal toog ca suufu daqaar ga.
daqaar,[dʌqa:r],nom,tamarin,Ñeex mi saf na daqaar.
dar,[dʌr],verbe,être pelé,Taatu golo dafa dar.
dar,[dʌr],verbe transitif,,
dar,[dʌr],verbe transitif,"fermer pour empêcher de voir, de parler",Daral gémmiñam ndax mu baña yuuxu.
dara,[dʌrʌ],nom,"quelque chose, rien (phrase négative)",Mu ngi ame dara ci loxoom.
darab,[dʌrʌb],nom,drap de lit,Fóotal darab bi.
daraja,[dʌrʌjʌ],nom,"dignité, prestance",Daraja toppul juddu.
daral,[dʌrʌl],nom,parc à bestiaux,Daral ba laa jëndé sama xar.
darkase,[dʌrkʌse],nom,anacardier,"Ren, darkase gi meññ na."
darkase,[dʌrkʌse],nom,pomme d’acajou,Ndoxum darkase day yàq yéré.
daw,[dʌw],verbe intransitif,"courir, fuir, se sauver, éviter",Gëléem mën na daw ci gannuus.
dawal,[dʌwʌl],verbe transitif,conduire un véhicule,Mën naa dawal oto.
dawal,[dʌwʌl],nom,"acompte, arrhes",Dawal bi na mat genn-wallu njëg gi.
dax,[dʌx],nom,beurre,Dax bi ruy na.
day,[dʌj],verbe intransitif,"être à la mesure de, avoir la taille de",Xale baa ngi day ni sama rakk.
day,[dʌj],verbe intransitif,aller à la selle,Guné gi day na ci kow ndés gi.
day,[dʌj],nom pluriel,excréments,Dëgg naa ay day.
day,[dʌj],verbe,être émoussé,Paaka bi day na.
dayo,[dʌjɔ],nom,"dimension, taille",Kaay ma won la sama dayoob tool.
dàjji,[daɉ:i],verbe transitif,"déclouer, défaire, démolir",Dàjji na baraagam.
dàkkaande,[dak:a:nde],nom,gomme arabique,Dàkkaande bari na Gànnaar.
dàkkoor,[dak:ɔ:r],verbe intransitif,être d’accord,Dàkkoor na ag man.
dàll,[dal:],nom,chaussure,Dàll yi jotuñu ma.
dàmp,[damp],verbe transitif,masser,Dàmp nañu sama yaram ag kaarité.
dànq,[daŋq],nom,variété d’arbre à fruit sec. (Detarium microcarpum),Bul gor dànq gi.
dànq,[daŋq],nom,"fruit du « dànq », comestible, à chair jaune, plus sucré et moins fibreux que le « ditax »",Xale yi bëgg nañu lool dànq.
dàq,[daq],verbe transitif,"chasser, expulser, licencier, renvoyer","Dàqal ginaar gi, mu génn néeg bi."
dàq,[daq],verbe transitif,"l’emporter sur, surpasser, être plus beau",Maa la dàqa dow.
daa,[da:],nom,"encre, encrier",Daa ji ñuul na bubaax.
daagu,[da:gu],verbe intransitif,marcher lentement en paradant avec affectation,Ku mu neex nga daagu fa ñu la nobe.
daaj,[da:ɉ],verbe transitif,"enfoncer en tapant, clouer",Daajal pont bi ci suufu palanteer bi.
daal,[da:l],conjonction,"vraiment, certes",Moom daal baaxul.
daan,[da:n],verbe intransitif,"terrasser, être victorieux, l’emporter sur",Ku daan ci ñoom ñaar ?
daan,[da:n],verbe transitif,"condamner, infliger une amende",Yoon daan na ko.
daanaka,[da:nʌkʌ],adverbe,"pour ainsi dire, à peu près, presque",Daanaka loolu laa wax.
daanu,[da:nu],verbe intransitif,"tomber, être vaincu",Néeg bi daanu na.
daara,[da:rʌ],nom,école coranique,Noo bokkoon daara.
daas,[da:s],verbe transitif,aiguiser,Daasal paaka bi.
daaw,[da:w],adverbe,l’an dernier,Dugub barewoon na daaw.
daay,[da:j],nom,feu de brousse,Ngelaw li yokk na daay gi.
de,[de],conjonction,qui marque l’insistance,"Mën nga ko seeti, man de duma dem."
def,[def],verbe transitif,"faire, commettre, exécuter",Def nga lu baax.
def,[def],verbe transitif,"faire, commettre, exécuter",Def nga lu baax.
defar,[defʌr],verbe transitif,"fabriquer, construire",Ku defar roppëlaan bi ?
defe,[defe],verbe intransitif,"supposer, croire, penser",Defewoon naa danga tukki.
dekki,[dek:i],verbe intransitif,"ressusciter, reprendre vie",Boo toppatoo garab gi mu dekki.
dell,[del:],coverbe,marquant la plénitude être très (plein),Sama loxo fees na dell.
delloo,[del:ɔ:],verbe transitif,"rendre, restituer, remporter",Delloo naa ko li mu ma abaloon.
dellu,[del:u],verbe intransitif,"retourner, repartir, rentrer",Sama baay dellu na Màkka.
dem,[dem],verbe intransitif,"aller, partir",Dem naa ba biir Fuuta.
denc,[deɲc],verbe transitif,"garder, conserver",Dencal sama wàll.
dend,[dend],verbe intransitif,"être à côté de, être voisin",Sunu ñaari kër ñoo dend.
deñ,[deɲ],verbe intransitif,"être enlevé, défait, cesser d’être",Kubéeru satala gi deñ na.
der,[der],nom,"peau, cuir","Tama ji, deru béy wu ndaw lañu ko foore."
deret,[deret],nom,"sang, lignée",Deret ji tis na ci sama mbubb.
des,[des],verbe intransitif,"rester, manquer","Jox nga ma mbubb, des na dàll."
des,[des],nom,reste,Duma lekk des.
dese,[dese],verbe transitif,avoir encore,Dese naa xaalis.
detteel,[det:e:l],verbe transitif,faire tomber sur le derrière,"Daf maa detteel, booba ba-tey sama ndigg a ngi metti."
dex,[dex],nom,"rivière, fleuve",Dex gi fer na.
dee,[de:],verbe intransitif,mourir,Sama xar mu rafet ma dee na daaw.
dee,[de:],nom,la mort,Dee du fàtte kenn.
deem,[de:m],nom,mulet (poisson),Deem tuuru na léegi.
dég,[deg],nom,épine,Dég jam na ma.
dég-dég,[degdeg],nom,"nouvelle, entendement, compréhension",Am naa dég-dég bu neex.
dégg,[deg:],verbe transitif,"entendre, apprendre une nouvelle, comprendre",Dégg naa sabar gi.
déggóo,[deg:o:],verbe intransitif,"s’entendre, s’accorder",Déggóo nanu ci njëg.
déggóo,[deg:o:],nom,entente,Seen déggóo gi neex na ma.
déglu,[deglu],verbe intransitif,écouter,Déglu naa bu-baax li mu doon wax.
dékk,[dek:],verbe transitif,recueillir dans la main ou dans un récipient,Dékkal sa paan ci suufu robine bi.
dékk,[dek:],nom,enclume,Tegal weñ gi ci dékk wi.
démb,[demb],adverbe,"hier, jadis",Ñów naa démb.
démb,[demb],nom,passé (idée du),Nit ku sopp démb la.
dénd,[dend],verbe transitif,"tendre (peau, bâche, toile)",Déndal deru xar mi ci naaj wi.
dénd,[dend],nom,"étendue surface, continent, monde",Sa déndu tool bi yaatuwul.
dénk,[deŋk],verbe transitif,confier,Dénk naa la sama kër.
dénk,[deŋk],nom,bois menuisé,Sa baraag bi dénk yu baax la.
déqi,[deqi],verbe transitif,récolter des arachides,"Gerte gi ñor na, déqi ko jot na."
déwén,[dewen],adverbe,an prochain,Déwén ngay dugg lekkool.
déedéet,[de:de:t],adverbe,non,Yaa ko ko wax ?
déeg,[de:g],verbe transitif,épargner une plante ou quelqu’un,Na nga déeg gerte ga.
déeg,[de:g],nom,"marigot, mare, étang",Déeg bi xóotul.
déet,[de:t],adverbe,marquant l’interdiction,"Déet, bu fa dem."
déey,[de:j],verbe intransitif,"souffler à l’oreille, dire en confidence",Déey ma li nga bëgg.
dëbb,[dəb:],verbe transitif,piler,Jëlal gënn gi te dëbb dugub ji.
dëbbé,[dəb:e],verbe intransitif,entonner,"Dëbbéel, nu awu la."
dëdd,[dəd:],verbe intransitif,"quitter, partir","Dafa dëdd, nga agsi."
dëddu,[dəd:u],verbe transitif,"tourner le dos à quelqu’un, être hors des axes de circulation","Sama xarit la woon, léegi dëddu na ma."
dëféenu,[dəfe:nu],verbe intransitif,se coucher sur le ventre,Bala muy mana nelaw dëféenu.
dëfël,[dəfəl],verbe transitif,"consoler, apaiser par des propos","Meroon na, wànte dëfël naa ko."
dëgër,[dəgər],verbe,"être dur, solide, têtu",Jaay ma buum gu dëgër.
dëgg,[dəg:],verbe transitif,marcher sur,Dëgg nga samay dàll.
dëgg,[dəg:],nom,vérité,Dëgg neexula dégg.
dëj,[dəɉ],verbe transitif,"asseoir, mettre à terre, faire tenir tranquille",Dëjal xale bi ci ruq bi.
dëj,[dəɉ],verbe transitif,faire les funérailles,Tey lañu koy dëj.
dëj,[dəɉ],nom,"obsèques, funérailles",Dëj baa nga kër aawoom.
dëkk,[dək:],verbe transitif,"habiter, être originaire de…",Sama jabar a ngi dëkk Cilmaxa.
dëkk,[dək:],nom,"village, ville",Kawlax dëkk bu rëy la.
dëkk,[dək:],verbe,lancer un défi,Dëkk na mbër mu ko mën.
dëll,[dəl:],verbe,"être épais, avoir de l’épaisseur",Ndimo lu dëll la jënd.
dënn,[dən:],nom,"poitrine, poitrail",Dënnam dafay metti.
dënnu,[dən:u],verbe intransitif,tonner,Asamaan saa ngi dënnu.
dënnu,[dən:u],nom,tonnerre,Loolu du dënnu ?
dëng,[dəŋ],verbe,"être tordu, ne pas être droit",Sa rëdd wi dafa dëng.
dëné,[dəɲe],verbe intransitif,ne pas manger à midi,Dafa doxiwoon ba dëñé.
dëpp,[dəp:],verbe,"mettre à l’envers, retourner, faire demi-tour",Danga dëpp sa xaftaan.
dër,[dər],verbe transitif,damer,"Yoon wi baax na léegi, dër nañu ko."
dër,[dər],verbe,être bègue,Xale bii dafa dër.
dërëm,[dərəm],nom,unité de monnaie équivalent à cinq francs,Juróomi dërëm laa ko jox.
dëtëm,[dətəm],verbe intransitif,boire en plongeant les lèvres dans le liquide,"Bul dëtëm, jëlal pot bi."
dëtt,[dət:],nom,pus,"Taab gi bëtt na, dëtt ji génn."
dëwlin,[dəwlin],nom,huile d’arachide,Dëwlin moo baax ci ceebu jën.
dëy,[dəj],nom,pouce,Baraamu dëyam dog na.
dibéer,[dibe:r],nom,dimanche,Duma liggéey dibéer.
dig,[dig],verbe transitif,promettre,Dig na ma xaalis.
digal,[digʌl],verbe transitif,"conseiller, prescrire",Digal naa ko mu jubóog baayam.
digal,[digʌl],nom,pendentif,Sa digal bi rëy na lool.
digaale,[diga:le],verbe intransitif,avoir des rapports avec quelqu’un,Lu nu digaale ?
digaale,[diga:le],nom,personne avec qui on entretient des rapports,Dëkkaale mooy indi digaale.
digé,[dige],verbe transitif,prendre un engagement,Digé na noppi liggéey bi ëllëg.
digg,[dig:],nom,"milieu, centre",Samp ko ci diggu kër gi.
diggante,[dig:ʌnte],nom,"distance, intervalle",Mungi wadd ci diggante sama kër ag gosam.
dijj,[diɉ:],verbe,être gros,Gis naa màngo yu dijj tey marse.
dijjal,[diɉ:ʌl],verbe intransitif,avoir la gencive gonflée par les dents au point de sortir,Xale baa ngi dijjal.
dikk,[dik:],verbe intransitif,"arriver, venir",Dikk na ba ci buntu kër gi.
dimaas,[dima:s],nom,dimanche,Dimaas laay am jot.
dimmali,[dim:ʌli],verbe transitif,"aider, secourir","Dimmali ma, ma yëkkëti lal bi."
dimmili,[dimbili],verbe transitif,,
dimbali,[dimbʌli],verbe transitif,,
dimbili,[dimbili],verbe transitif,,
dindi,[dindi],verbe transitif,"enlever, ôter",Dindil sa tànk ci yoon wi.
dipite,[dipite],nom,député,Dipité yi daje nañu.
dipparñi,[dip:ʌrɲi],verbe transitif,,
dippee,[dip:e:],verbe transitif,donner comme nom de baptême celui d’une personne décédée,Sama baay laa ko dippée.
dippi,[dip:i],verbe transitif,remettre à l’endroit,Dippil dàll wi.
diréeku,[dire:ku],verbe intransitif,se traîner à terre,Mënula jóg mu ngi diréeku.
diri,[diri],verbe transitif,"tirer à terre, traîner",Diri naa saaku bi ba fii.
diriku,[diriku],verbe intransitif,,
ditax,[ditʌx],nom,variété d’arbre à fruits comestibles. (Detarium senegalensis). JF. Gmel,Ditax gi rag na.
ditax,[ditʌx],nom,"fruit du « ditax », rond, comestible, à chair verte, farineuse et à noyau couvert de fibres",Ditax bu wowee lool dootul baax.
diw,[diw],verbe transitif,"enduire de graisse, oindre",Diw naa dënnam kaarité.
diw,[diw],nom,"corps gras, huile",Demal jëndal ma diwu-tiir.
diw,[diw],nom,"individu indéterminé, un tel","Demuloo fa, noo mana waxe ne diw ñów na, diw ñówul."
diwlin,[diwlin],nom,,
diig,[di:g],nom,"s’enfoncer dans l’eau, être submergé",Gaal gi diig na ci diggu géej.
diiju,[di:ɉu],verbe transitif,singer,Bàyyil bu ma dee wax nga di ma diiju.
diiné,[di:ne],nom,"religion, foi",Nit ku am diiné wuyuji na boroomam.
diir,[di:r],verbe transitif,viser,Diir na pétax mi ag fetalam wànte moy na.
diir,[di:r],nom,"durée, délai",Ci diir bu gàtt laa ko def.
diis,[di:s],verbe,être lourd,Waxande wi dafa diis.
diisóo,[di:so:],verbe intransitif,"se concerter, s’entretenir",Kaayleen nu diisóo bala noo dem.
diisóo,[di:so:],nom,"concertation, entretien",Seen diisóo bi yàgg na.
dof,[dɔf],verbe,"être fou, aliéné",Li mu gis ci guddi mootax mu dof.
dof,[dɔf],nom,"feu, aliéné",Ab dof a ko sànni xeer.
dog,[dɔg],verbe,"couper, amputer, tailler, barrer",Garab gi daanu dog na yoon wi.
dog,[dɔg],nom,portion,Dog wi nga ma jox doyul.
dog,[dɔg],nom,courbatures,Kel baax na ci dog.
dogal,[dɔgʌl],verbe intransitif,"décider, arrêter","Amuma lu dul sama xalaat, sama baay mooy dogal."
dogal,[dɔgʌl],nom,"décision, jugement, sentence, pouvoir, arrêt divin",Dogal bi Yàllaa ko yor.
dogale,[dɔgʌle],verbe transitif,"barrer la route à, aller à la rencontre de","Dogale ko, bu mu fi dugg."
dogoo,[dɔgɔ:],verbe intransitif,rompre réciproquement toutes relations,Lutax ngeen dogoo ?
dogoo,[dɔgɔ:],nom,rupture des relations entre deux personnes,Seen dogoo bi yàgg na lool.
dogu,[dɔgu],verbe,être résolu fermement à,Dogu naa ci dem tey.
doggali,[dɔg: ʌli],verbe,fermer les yeux à un mort,"Dog na leegi, wooleen mag mu ko doggali."
doj,[dɔɉ],nom,"pierre, caillou",Daf maa sànni doj.
doktoor,[dɔktɔ:r],nom,médecin,Doctoor bi ñów na.
dolli,[dɔl:i],verbe transitif,"ajouter, augmenter, allonger",Dollil ndox ci kafe gi.
domp,[dɔmp],verbe transitif,pincer,Daf ko domp mu jooy.
donn,[dɔn:],verbe transitif,hériter,Donn na ñetti kër ci baayam.
dong,[dɔŋ],verbe,être sujet à la tremblote,Dafa dong léegi.
donj,[dɔɲɉ],nom,"motte, morceau",Def ci ñaari donju suukar.
doŋŋ,[dɔŋ:],adverbe,"seulement, seul",Lii doŋŋ nga may may ?
doq,[dɔq],nom,nuque,Daf ko dóor ci doq mu daanu.
dow,[dɔw],verbe intransitif,,
dox,[dɔx],verbe intransitif,marcher,Gumba dafay dox ndànk.
dox,[dɔx],nom,marche,Sopp naab dox.
doxal,[dɔxʌl],verbe transitif,"faire marcher, conduire, mener",Na nga doxal liggéey bi.
doxantu,[dɔxʌntu],verbe intransitif,"se promener, faire les cent pas",Bu ma reeree ba noppi damay doxantu.
doxaan,[dɔxa:n],verbe transitif,"faire la cour à une femme, courtiser","Su warugar duggee, kenn dootul doxaan."
doy,[dɔy],verbe intransitif,"suffire, convenir",Ceeb bi doy na la ?
doy,[dɔy],verbe transitif,inspirer confiance,Seetal ma sama kër ndax doy nga ma.
doyadi,[dɔjʌdi],verbe,"être insuffisant, faible d’esprit",Boroom butik bi ci koñ bi dafa doyadi.
doye,[dɔje],verbe transitif,utiliser dans un but précis,Looy doye xaalis ?
doole,[dɔ:le],nom,"force, puissance","Bare jikkó, bare doole ko gën."
doom,[dɔ:m],nom,"enfant par filiation, poupée",Am na ñaari doom.
doom,[dɔ:m],nom,fruit,Màngo ab doom la.
door,[dɔ:r],verbe transitif,"commencer, débuter, entreprendre, amorcer",Door na tabax këram.
dóolinka,[do:liŋkʌ],nom,hameçon,Jën wi wann na dóolinka bi.
dóom,[do:m],nom,cendre,Suul naa ay xal ci dóom bi.
dóor,[do:r],verbe transitif,"frapper, battre",Sëriñ bi dóor na ndongoom.
dóor,[do:r],nom,"tape, coup",Sa dóor bi metti na.
dugal,[dugʌl],verbe transitif,"faire entrer, introduire",Dugal na ñaari nit ci làmb ji.
dugub,[dugub],nom,"mil, céréales","Ren, Fuuta bey na dugub ju bari."
dugg,[dug:],verbe intransitif,entrer,Wundu wi dugg na ci néeg bi.
duma,[dumʌ],verbe transitif,"battre, vaincre, corriger",Boo ma saagaa ma duma la.
dumat,[dumʌt],verbe,appâter,"Tey, pullóox laay dumate."
dumat,[dumʌt],nom,appât,Ñakk dumat moo tax gétiwul.
dun,[dun],nom,île,"Dun bee, kenn dëkku fa."
dund,[dund],verbe intransitif,vivre,Sama maam dund na téeméeri at.
dund,[dund],nom,la vie,Samag dund neex na.
dund,[dund],nom,"nourriture, subsistance ; budget familial ; pension alimentaire",Jëkkër ameel na jabaraam ab dund.
duy,[duy],verbe transitif,puiser de l’eau,Sama yaay a ngi duy.
duuf,[du:f],verbe,être gras,Xar mi duuf na léegi.
duun,[du:n],verbe,"être abondant, copieux, avantageux",Sarax su duun laa ko jox.
duus,[du:s],nom,vague,Duus bi yóbbu na samay yéré.
duus,[du:s],nom,toilette,Damay dem duus ba.
duusu,[du:su],nom,chique,Duusu feeñ na ci tànkam.
edda,[ed:ʌ],nom,délai de viduité pour les femmes divorcées,Eddaam mat na.
égsi,[egsi],verbe intransitif,,
egg,[eg:],verbe intransitif,,
eleew,[ele:w],nom,élève,Tey eleew yi duñu dem lekkool.
estomaa,[estoma:],nom,"ventre, douleur abdominale, ulcère d’estomac",Sa estomaa bi wér na ?
ey,[ej],interjection,"de surprise, de compassion, d’admiration",Ey maa ko yërëm !
ëcc,[əc:],verbe transitif,filer,Maam a ngi ëcc wëtten ci suba ba-tey.
ëf,[əf],verbe transitif,souffler,Ëfël taal bi ndax mu tàkk.
ëfël,[əfəl],verbe transitif,laisser faire,Ëfël ko ba xam.
ëgg,[əg:],nom,pluie hors saison,Ëgg bi saxalaat na ñax mi.
ëkk,[ək:],nom,souche,Dogal reen yi ndax ëkk bi mën a deñ.
ëlléer,[əl:e:r],nom,"instrument aratoire, hilaire","Demleen, ku nekk ag sa ëlléer."
ëllëg,[əl:əg],adverbe,demain,Ëllëg kenn du jàng.
ëllëg,[əl:əg],nom,avenir,"Ëllëg, ëllëgu Yàllaa."
ëmb,[əmb],verbe transitif,envelopper,Ëmbal póot mi ci sër bi.
ëmb,[əmb],verbe intransitif,Être en grossesse,Sama jabar dafa ëmb.
ëmb,[əmb],nom,paquet,Jox ma ëmb bi ma seet.
ënn,[ən:],verbe intransitif,"être fermenté, en parlant des produits farineux",Cere ji dafa ënn.
ëñ,[əɲ],verbe transitif,retrousser,Ëñal sa tànku tubéy bala moo tooy.
ëpp,[əp:],verbe intransitif,"dépasser les mesures, les limites",Mbubb mi dafa maa ëpp.
ëppël,[əp:əl],verbe transitif,"dépasser les limites, être au-dessus de l’ordinaire, exagérer",Lépp looy def danga ciy ëppël.
ër,[ər],verbe transitif,délimiter ou préserver un espace circulaire,Booy bey na nga ër màngo ga.
ër,[ər],nom,"tache dermique, symptôme de différentes maladies de peau",Sa ër yi bari nañu.
ës,[əs],verbe,"être coriace, dur, endurci","Dootul yëg i dóor, dafa ës."
ëtt,[ət:],nom,cour intérieure de la maison,Lalal basaŋ gi ci ëtt bi.
ëw,[əw],verbe transitif,"entourer, former un cercle autour",Nit ñaa ngi ëw xaat seen mbër.
fab,[fʌb],verbe transitif,"prendre, emporter, enlever",Fab naa sa téeré bu mag bi.
fabu,[fʌbu],verbe intransitif,se préparer à partir,Nanu fabu ndax nu teela yegg.
faf,[fʌf],verbe intransitif,finir par,Faf naa jënd ceeb bu dijj.
fagaru,[fʌgʌru],verbe intransitif,,
fagas,[fʌgʌs],verbe transitif,,
faj,[fʌɉ],verbe transitif,"soigner, guérir",Xobu guyaab dana faj biiru taññ.
fajar,[fʌɉʌr],nom,"aube, prière de l’aube",Julli naa fajar.
fal,[fʌl],verbe transitif,"élire, porter au pouvoir","Yeen a ko fal, bu leen jàmbat."
fan,[fʌn],nom,jours,Am naa fi ñaari fan.
fan,[fʌn],nom,vie,Maa ngi lay ñaanal fan wu gudd.
fanaan,[fʌna:n],verbe intransitif,passer la nuit,Bés booba ma ngi fanaan Kawlax.
fanweer,[fʌnwe:r],numéral,trente,Fanweeri dërëm laa ko jox.
fande,[fʌnwe:r],verbe,passer la nuit sans souper,"Dama guddee ñibbisi, moo tax ma fande."
fanq,[fʌŋq],verbe,empêcher quelque chose,Dara mënula fanq suma sëy.
far,[fʌr],nom,"fiancé, amant",Far dafa wara wormal ay goroom.
far,[fʌr],verbe,"prendre le parti de, s’allier à, soutenir, en terme de sport : supporter",Maag waa Saltigee far.
faral,[fʌrʌl],verbe transitif,"favoriser, prendre parti pour",Boroom ñaari jabar warula faral kenn.
faral,[fʌrʌl],verbe,être souvent,Dina faral di feebar.
farata,[fʌrʌtʌ],nom,"obligation, devoir, ce qui est essentiel",Julli farata la.
farax,[fʌrʌx],verbe,,
farba,[fʌrbʌ],nom,"dignitaire faisant partie de la cour royale dans les royaumes du Cayor et du Baol, du Sine et du Saloum. Issu des captifs de la couronne, c’est l’homme de confiance du roi",Farba la buur daan mujj a déeyóol.
farlu,[fʌrlu],verbe intransitif,"s’activer, mettre du zèle, être attentif, s’appliquer",Ku farlu la ci liggéeyam.
fas,[fʌs],verbe,"nouer, attacher",Fas ko ba mu dëgër.
fas,[fʌs],nom,nœud,Sa fas gi dëgër na.
fas,[fʌs],nom,cheval,Mën naa war fas.
fase,[fʌse],verbe transitif et intransitif,"répudier, divorcer (homme)",Fase na jabaram.
fasoŋ,[fʌsɔŋ],nom,"façons, manières",Nit ku bari fasoŋ la.
fat,[fʌt],verbe transitif,mettre à l’abri,Fatal ndab yi balaa taw.
fatliku,[fʌtliku],verbe transitif,,
fatt,[fʌt:],verbe transitif,boucher un trou,Fatt naa bën-bën bi.
fatt,[fʌt:],verbe intransitif,être étanche,"Taax mi fatt na taraj, du senn."
fattu,[fʌt:u],verbe intransitif,avoir un corps étranger dans l’œil,"Ëfal ma sama bët, dama fattu."
faxas,[fʌxʌs],verbe transitif,"balayer de la main, épousseter",Faxasal taabal ji.
fay,[fʌj],verbe intransitif,abandonner le domicile conjugal,Sama jabar dafa fay.
