mot_vedette,prononciation,catégorie_grammaticale,ex_wol,ex_fra
defuñu,,,,
deg,,,,
dég,,,,
dég,[deg],nom,,
dégam,,,,
dëgarël,,,,
dég-dég,[degdeg],nom,,
dëgër,,,,
dëgër,[dəgər],verbe,,
dëgëraayu,,,,
dëgëraguñu,,,,
dëgëral,,,,
dëgëree,,,,
dëgëroon,,,,
degg,,,,
dégg,,,,
dégg,[deg:],verbe,,
dègg,,,,
dëgg,,,,
dëgg,[dəg:],nom,,
dëgg,[dəg:],verbe,,
deggal,,,,
déggal,,,,
dëggal,,,,
déggalee,,,,
dégganaa,,,,
déggandoo,,,,
dëggantaan,,,,
degge,,,,
dégge,,,,
déggee,,,,
dégglu,,,,
déggo,,,,
deggoo,,,,
déggoo,,,,
déggóo,,,,
déggóo,[deg:o:],nom,,
déggóo,[deg:o:],verbe,,
dëggu,,,,
déggul,,,,
dégguma,,,,
dégguñu,,,,
dégi,,,,
dégloonte,,,,
déglooti,,,,
deglu,,,,
déglu,,,,
déglu,[deglu],verbe,,
déglul,,,,
degluleen,,,,
dégluleen,,,,
dégluléen,,,,
dëgmal,,,,
dëgmël,,,,
dégu,,,,
deictiques,,,,
dëj,,,,
dëj,[dəɉ],nom,,
dëj,[dəɉ],verbe,,
dejaa,,,,
dejaare,,,,
dejal,,,,
dejee,,,,
dëju,,,,
déjuy,,,,
dekk,,,,
dékk,,,,
dékk,[dek:],nom,,
dékk,[dek:],verbe,,
dëkk,,,,
dëkk,[dək:],nom,,
dëkk,[dək:],verbe,,
dëkkaale,,,,
dekkaate,,,,
dëkkal,,,,
dëkkam,,,,
dëkkan,,,,
dëkkandoo,,,,
dëkkandoom,,,,
dëkke,,,,
dekkee,,,,
dëkkee,,,,
dékkerleel,,,,
dekki,,,,
dekki,[dek:i],verbe,,
dékki,,,,
dëkki,,,,
dëkkoo,,,,
dëkkoon,,,,
dëkku,,,,
dëkkul,,,,
dëkkuwaay,,,,
dekkuwaayam,,,,
delee,,,,
dell,,,,
dell,[del:],coverbe,,
dëll,,,,
dëll,[dəl:],verbe,,
dello,,,,
delloo,,,,
delloo,[del:ɔ:],verbe,,
dellook,,,,
dellooleen,,,,
délloosi,,,,
dellu,,,,
dellu,[del:u],verbe,,
déllusee,,,,
dellusi,,,,
déllusi,,,,
dellusiwaat,,,,
déllusiwaat,,,,
delluwaat,,,,
delluwaatee,,,,
delluy,,,,
deloo,,,,
deloosi,,,,
délsee,,,,
delsi,,,,
délsi,,,,
deltu,,,,
delusee,,,,
delusi,,,,
dem,,,,
dem,[dem],verbe,,
dém,,,,
dema,,,,
demaat,,,,
demaatal,,,,
demal,,,,
demandai,,,,
demander,,,,
demateet,,,,
demati,,,,
dematima,,,,
demb,,,,
démb,,,,
démb,[demb],adverbe,,
démb,[demb],nom,,
dèmb,,,,
demba,,,,
démbi,,,,
démboo,,,,
deme,,,,
demee,,,,
demeet,,,,
demewu,,,,
demewul,,,,
demin,,,,
demleen,,,,
democratie,,,,
demoo,,,,
demoon,,,,
demub,,,,
demul,,,,
demuma,,,,
deñ,,,,
deñ,[deɲ],verbe,,
denc,,,,
denc,[deɲc],verbe,,
dencal,,,,
dencante,,,,
denckat,,,,
dencoon,,,,
dend,,,,
dend,[dend],verbe,,
dénd,[dend],nom,,
dénd,[dend],verbe,,
dënd,,,,
dendadoo,,,,
dendal,,,,
dendale,,,,
dendandoo,,,,
dende,,,,
dëndiix,,,,
dëné,[dəɲe],verbe,,
dëng,[dəŋ],verbe,,
dëngal,,,,
dëngee,,,,
dëngëñ,,,,
denk,,,,
dénk,,,,
dénk,[deŋk],nom,,
dénk,[deŋk],verbe,,
dënk,,,,
dénkaane,,,,
dénkaat,,,,
dénki,,,,
dénkoon,,,,
dënn,,,,
dënn,[dən:],nom,,
dënnam,,,,
dënnu,,,,
dënnu,[dən:u],nom,,
dënnu,[dən:u],verbe,,
dënnub,,,,
dent,,,,
dents,,,,
dënu,,,,
dënul,,,,
depand,,,,
depãs,,,,
depêche,,,,
depenses,,,,
dépp,,,,
dëpp,,,,
dëpp,[dəp:],verbe,,
deppaar,,,,
déppi,,,,
deppoo,,,,
dëppook,,,,
dëppóok,,,,
dëppoon,,,,
depuis,,,,
déqee,,,,
déqi,,,,
déqi,[deqi],verbe,,
der,,,,
der,[der],nom,,
dér,,,,
dër,,,,
dër,[dər],verbe,,
dëraal,,,,
dérale,,,,
deram,,,,
deratam,,,,
derechef,,,,
dërëktëer,,,,
dërëm,,,,
dërëm,[dərəm],nom,,
dërëmëm,,,,
dërëmi,,,,
deret,,,,
deret,[deret],nom,,
deretam,,,,
dërëtëer,,,,
deretu,,,,
deroule,,,,
dérr,,,,
derrière,,,,
deru,,,,
des,,,,
des,[des],nom,,
des,[des],verbe,,
dés,,,,
desaat,,,,
desal,,,,
desalee,,,,
desàmbar,,,,
desatu,,,,
dese,,,,
dese,[dese],verbe,,
desee,,,,
deseetu,,,,
deseetul,,,,
desidee,,,,
desoon,,,,
desu,,,,
desul,,,,
desulee,,,,
det,,,,
dét,,,,
dëtëm,[dətəm],verbe,,
dett,,,,
dëtt,[dət:],nom,,
detteel,,,,
detteel,[det:e:l],verbe,,
detteloo,,,,
dëwaar,,,,
dewee,,,,
déwen,,,,
déwén,,,,
déwén,[dewen],adverbe,,
dëwlin,[dəwlin],nom,,
dewolope,,,,
dex,,,,
dex,[dex],nom,,
dëxëñe,,,,
dexug,,,,
dey,,,,
déy,,,,
dëy,,,,
dëy,[dəj],nom,,
deyaloo,,,,
dëyam,,,,
di,,,,
dib,,,,
dibéer,,,,
dibéer,[dibe:r],nom,,
did,,,,
difa,,,,
dig,,,,
dig,[dig],verbe,,
digaale,[diga:le],nom,,
digaale,[diga:le],verbe,,
digal,,,,
digal,[digʌl],nom,,
digal,[digʌl],verbe,,
digante,,,,
dige,,,,
digé,[dige],verbe,,
digg,,,,
digg,[dig:],nom,,
diggal,,,,
diggante,,,,
diggante,[dig:ʌnte],nom,,
diggantee,,,,
digganteek,,,,
digganteem,,,,
diggantre,,,,
diggente,,,,
diggënte,,,,
diggentee,,,,
diggënteek,,,,
diggi,,,,
diggu,,,,
digle,,,,
dii,,,,
diib,,,,
diibe,,,,
diig,[di:g],nom,,
diiju,[di:ɉu],verbe,,
diimaa,,,,
diimal,,,,
diimar,,,,
diimat,,,,
diine,,,,
diiné,,,,
diiné,[di:ne],nom,,
diineem,,,,
diiney,,,,
diini,,,,
diir,,,,
diir,[di:r],nom,,
diir,[di:r],verbe,,
diirkë,,,,
diirub,,,,
diirul,,,,
diis,,,,
diis,[di:s],verbe,,
diisle,,,,
diislewoon,,,,
diisóo,[di:so:],nom,,
diisóo,[di:so:],verbe,,
diisook,,,,
diiwaan,,,,
diiwáanu,,,,
dij,,,,
dijj,,,,
dijj,[diɉ:],verbe,,
dijjaayu,,,,
dijjal,[diɉ:ʌl],verbe,,
diju,,,,
dike,,,,
dikk,,,,
dikk,[dik:],verbe,,
dikkaale,,,,
dikkal,,,,
dikkale,,,,
dikkalee,,,,
dikke,,,,
dikkee,,,,
dikkël,,,,
dikko,,,,
dikkon,,,,
dikkoon,,,,
diko,,,,
dila,,,,
dima,,,,
dimaas,,,,
dimaas,[dima:s],nom,,
dimar,,,,
dimat,,,,
dimb,,,,
dimbale,,,,
dimbalee,,,,
dimbali,,,,
dimbali,[dimbʌli],verbe,,
dimbële,,,,
dimbili,[dimbili],verbe,,
dimmale,,,,
dimmalee,,,,
dimmalewoon,,,,
dimmali,,,,
dimmali,[dim:ʌli],verbe,,
dimmëli,,,,
dimmili,[dimbili],verbe,,
diñ,,,,
dina,,,,
dinaa,,,,
dinan,,,,
dinanu,,,,
dinañu,,,,
dinañuy,,,,
dinasti,,,,
dind,,,,
dindee,,,,
dindi,,,,
dindi,[dindi],verbe,,
dindiwul,,,,
diñe,,,,
dinga,,,,
dingay,,,,
dingeen,,,,
diŋ,,,,
dipite,[dipite],nom,,
dipparñi,[dip:ʌrɲi],verbe,,
dippee,[dip:e:],verbe,,
dippi,[dip:i],verbe,,
dir,,,,
diràngoo,,,,
diréeku,[dire:ku],verbe,,
diri,,,,
diri,[diri],verbe,,
diriku,[diriku],verbe,,
dis,,,,
disal,,,,
ditax,[ditʌx],nom,,
diw,,,,
diw,[diw],nom,,
diw,[diw],verbe,,
diwa,,,,
diwliln,,,,
diwlin,[diwlin],nom,,
diwook,,,,
diwu,,,,
dixool,,,,
diy,,,,
do,,,,
dof,,,,
dof,[dɔf],nom,,
dof,[dɔf],verbe,,
dofloo,,,,
doflu,,,,
dog,,,,
dog,[dɔg],nom,,
dog,[dɔg],verbe,,
dogaatal,,,,
dogal,,,,
dogal,[dɔgʌl],nom,,
dogal,[dɔgʌl],verbe,,
dogalam,,,,
dogale,,,,
dogale,[dɔgʌle],verbe,,
dogalee,,,,
dogante,,,,
dogat,,,,
doge,,,,
dogg,,,,
doggali,,,,
doggali,[dɔg: ʌli],verbe,,
doggamle,,,,
dogoo,[dɔgɔ:],nom,,
dogoo,[dɔgɔ:],verbe,,
dogook,,,,
dogooy,,,,
dogu,[dɔgu],verbe,,
dogulu,,,,
doguma,,,,
doj,,,,
doj,[dɔɉ],nom,,
doktëër,,,,
doktoor,[dɔktɔ:r],nom,,
doktooru,,,,
doktora,,,,
dollee,,,,
dolli,,,,
dolli,[dɔl:i],verbe,,
dolliku,,,,
dollikug,,,,
dollil,,,,
dollileen,,,,
domga,,,,
domm,,,,
domp,[dɔmp],verbe,,
dong,[dɔŋ],verbe,,
dongo,,,,
dongoom,,,,
dongoy,,,,
donj,,,,
donj,[dɔɲɉ],nom,,
donk,,,,
donn,,,,
donn,[dɔn:],verbe,,
donnoon,,,,
dono,,,,
donoom,,,,
donte,,,,
doŋŋ,,,,
doŋŋ,[dɔŋ:],adverbe,,
doo,,,,
doob,,,,
dóobu,,,,
doog,,,,
doole,,,,
doole,[dɔ:le],nom,,
dooleen,,,,
dooley,,,,
dóolinka,[do:liŋkʌ],nom,,
doom,,,,
doom,[dɔ:m],nom,,
dóom,,,,
dóom,[do:m],nom,,
doomam,,,,
doomi,,,,
doomu,,,,
dóomu,,,,
doomu aadama,[dɔ:mua:dɐmɐ],nom,,
doomub,,,,
doon,,,,
doone,,,,
doonoo,,,,
doonóo,,,,
doonoon,,,,
doonte,,,,
doonum,,,,
door,,,,
door,[dɔ:r],verbe,,
dóor,,,,
dóor,[do:r],nom,,
dóor,[do:r],verbe,,
doora,,,,
dóorandoo,,,,
dooratiw,,,,
doore,,,,
dóore,,,,
dooree,,,,
dóoree,,,,
dóoreek,,,,
doorewoon,,,,
doori,,,,
dóori,,,,
dóorkat,,,,
dóorle,,,,
dootoo,,,,
dóotoo,,,,
dootooma,,,,
dootu,,,,
dóotu,,,,
dootul,,,,
dóotul,,,,
dòotul,,,,
dootuma,,,,
dooxiif,,,,
doppooralee,,,,
doq,[dɔq],nom,,
dor,,,,
dóree,,,,
dorog,,,,
doroobe,,,,
dos,,,,
dossier,,,,
dottu,,,,
dow,[dɔw],verbe,,
doww,,,,
dox,,,,
dox,[dɔx],nom,,
dox,[dɔx],verbe,,
doxaan,[dɔxa:n],verbe,,
doxaat,,,,
doxal,,,,
doxal,[dɔxʌl],verbe,,
doxale,,,,
doxalee,,,,
doxaleek,,,,
doxalin,,,,
doxam,,,,
doxantoo,,,,
doxantu,,,,
doxantu,[dɔxʌntu],verbe,,
doxatul,,,,
doxe,,,,
doxee,,,,
doxée,,,,
doxin,,,,
doxinam,,,,
doxiwul,,,,
doxot,,,,
doxub,,,,
doy,,,,
doy,[dɔy],verbe,,
dóy,,,,
doyadi,,,,
doyadi,[dɔjʌdi],verbe,,
doyal,,,,
doye,,,,
doye,[dɔje],verbe,,
doyee,,,,
doyloo,,,,
doyu,,,,
doyul,,,,
du,,,,
dudu,,,,
dug,,,,
dugal,,,,
dugal,[dugʌl],verbe,,
dugalante,,,,
dugalee,,,,
dugalleen,,,,
dugaloon,,,,
dugaluma,,,,
dugg,,,,
dugg,[dug:],verbe,,
duggaat,,,,
duggal,,,,
dugge,,,,
duggë,,,,
duggee,,,,
duggi,,,,
duggsee,,,,
duggsi,,,,
dugguma,,,,
dugóor,,,,
dugoori,,,,
dugsi,,,,
dugub,,,,
dugub,[dugub],nom,,
dukkat,,,,
dul,,,,
duma,,,,
duma,[dumʌ],verbe,,
dumaa,,,,
dumat,,,,
dumat,[dumʌt],nom,,
dumat,[dumʌt],verbe,,
dumay,,,,
dun,,,,
dun,[dun],nom,,
duñ,,,,
dund,,,,
dund,[dund],nom,,
dund,[dund],verbe,,
dundal,,,,
dundale,,,,
dundam,,,,
dunde,,,,
dundeeti,,,,
dundin,,,,
dundinam,,,,
dundingu,,,,
dundinu,,,,
dundu,,,,
dundub,,,,
dungeen,,,,
duññi,,,,
dunq,,,,
dunqu,,,,
dunu,,,,
duñu,,,,
dunyaa,,,,
duppee,,,,
duri,,,,
dut,,,,
duu,,,,
duubal,,,,
duuf,[du:f],verbe,,
duun,[du:n],verbe,,
duus,,,,
duus,[du:s],nom,,
duusi,,,,
duusu,[du:su],nom,,
duut,,,,
duwaa,,,,
duwaat,,,,
duwoon,,,,
duy,,,,
duy,[duy],verbe,,
duyal,,,,
dy,,,,
ëcc,[əc:],verbe,,
edda,[ed:ʌ],nom,,
ëf,[əf],verbe,,
ëfël,[əfəl],verbe,,
egg,,,,
egg,[eg:],verbe,,
ëgg,[əg:],nom,,
eggale,,,,
égsi,[egsi],verbe,,
ëkk,[ək:],nom,,
eleew,[ele:w],nom,,
ëlléer,[əl:e:r],nom,,
ëllëg,[əl:əg],adverbe,,
ëllëg,[əl:əg],nom,,
ëmb,ʔəmbᵊ,adjectif,,
ëmb,[əmb],nom,,
ëmb,[əmb],verbe,,
ëmbal,ʔəmbɐl,verbe,,
ëñ,[əɲ],verbe,,
ëndi,ʔəndi,verbe,,
ënn,[ən:],verbe,,
ëpp,[əp:],verbe,,
ëppël,[əp:əl],verbe,,
ëppu,ʔəp:u,verbe,,
ëppukaay,ʔəp:uka:j,nom,,
ër,[ər],nom,,
ër,[ər],verbe,,
ërtal,ʔərtɐl,verbe,,
ërtël,ʔərtəl,verbe,,
ës,[əs],verbe,,
ëskëy,ʔəskəj,,,
estomaa,[estoma:],nom,,
ëtt,[ət:],nom,,
ëw,[əw],verbe,,
ey,[ej],interjection,,
ey waay sàmba,ʔɛjwa:jsambɐ,,,
fa,fɐ,,,
faabar,,,,
faagaagal,fa:ga:gɐl,verbe,,
faajir,fa:ɟir,,,
faak,,,,
faal,,,,
faale,fa:lɛ,adjectif,,
faale,[fa:le],verbe,,
faali,fa:li,,,
faaloow,,,,
faar,[fa:r],nom,,
faaraar,fa:ra:r,,,
faare,fa:rɛ,adjectif,,
faari,,,,
faas,fa:s,,,
faas,[fa:s],nom,,
faat,[fa:t],verbe,,
faatu,fa:tu,adjectif,,
faawa,,,,
faax,fa:x,adjectif,,
faay,,,,
faayda,[fa:jdʌ],nom,,
faaydal,[fa:jdʌl],verbe,,
fab,,,,
fab,[fʌb],verbe,,
fàbbi,fab:i,,,
fabu,[fʌbu],verbe,,
fàcc,facʰ,,,
fàdd,fadᵊ,,,
fàdd,[fad:],verbe,,
fàddu,fad:u,,,
faf,fɐf,,,
faf,[fʌf],verbe,,
fafalnaaw,fɐfɐlna:w,,,
fafeet,,,,
fagarlu,fɐgɐrlu,,,
fagaru,fɐgɐru,,,
fagaru,[fʌgʌru],verbe,,
fagas,fɐgɐs,,,
fagas,[fʌgʌs],verbe,,
fagg,,,,
faggandiku,fɐg:ɐndiku,,,
fàggandiku,fag:ɐndiku,,,
fàggasndiku,,,,
fàggu,fag:u,,,
fàggu,[fag:u],verbe,,
faj,fɐɟ',,,
faj,[fʌɉ],verbe,,
fajar,fɐɟɐr,,,
fajar,[fʌɉʌr],nom,,
fajaru,fɐɟɐru,,,
fajaxte,,,,
fajtalul,,,,
faju,,,,
fak,,,,
fakk,fɐk:ʰ,,,
fàkk,fakʰ,,,
fàkk,[fak:],verbe,,
fakkaar,,,,
fàkkal,,,,
fakkastal,,,,
fakkastalu,fɐk:ɐstɐlu,,,
fakkatalu,fɐk:ɐtɐlu,,,
fàkko,fak:ɔ,,,
fakktalu,,,,
faku,,,,
fal,,,,
fal,[fʌl],verbe,,
falaakoon,,,,
falaŋ,fɐlɐŋ',,,
falax,,,,
falaxe,fɐlɐxɛ,,,
fale,,,,
fall,,,,
fàll,falᵊ,,,
fàllare,fal:ɐrɛ,,,
fàllare,[fal:ʌre],nom,,
fàllax,fal:ɐx,,,
fàllay,,,,
fàlley,fal:ɛj,,,
fàlley,[fal:ej],nom,,
falu,,,,
fam,,,,
fàmb,fambᵊ,,,
fan,fɐn',,,
fan,[fʌn],nom,,
fanaal,fɐna:l,,,
fanaan,fɐna:n',,,
fanaan,[fʌna:n],verbe,,
fanaanal,fɐna:nɐl,,,
fanaax,,,,
fande,fɐndɛ,,,
fande,[fʌnwe:r],verbe,,
fànn,fanᵊ,,,
fànna,fan:ɐ,,,
fànnoo,fan:ɔ:,,,
fanq,fɐNqʰ,,,
fanq,[fʌŋq],verbe,,
fànq,faNq,,,
fanqal,fɐNqɐl,,,
fàntar,fantɐr,,,
fanweer,fɐnwɛ:r,,,
fanweer,[fʌnwe:r],numéral,,
fàŋŋ,faŋᵊ,,,
fàŋŋaaral,faŋ:a:rɐl,,,
fàpp,,,,
fàppit,fap:it',,,
fàq,[faq],,,
faqastal,,,,
faqastalu,,,,
faqir,,,,
fàqman,faqmɐn',,,
far,fɐr,,,
far,[fʌr],nom,,
far,[fʌr],verbe,,
faraasu,fɐra:su,,,
faral,fɐrɐl,,,
faral,[fʌrʌl],verbe,,
faramfàcce,fɐrɐmfac:ɛ,,,
faramfànce,fɐrɐmfaɲcɛ,,,
faramfeñe,,,,
farandoo,fɐrɐndɔ:,,,
farata,fɐrɐtɐ,,,
farata,[fʌrʌtʌ],nom,,
farataal,,,,
farax,[fʌrʌx],verbe,,
farba,fɐrbɐ,,,
farba,[fʌrbʌ],nom,,
fareet,,,,
fariñ,fɐriɲ',,,
farle,fɐrlɛ,,,
farlu,fɐrlu,,,
farlu,[fʌrlu],verbe,,
farmàngu,,,,
farmasi,fɐrmɐsi,,,
faro,,,,
farsi,fɐrsi,,,
fàrsi,farsi,,,
faru,fɐru,,,
farxañ,fɐrxɐɲ',,,
fas,fɐs,,,
fas,[fʌs],nom,,
fas,[fʌs],verbe,,
fasale,fɐsɐlɛ,,,
fasante,fɐsɐntɛ,,,
fase,[fʌse],,,
fasoŋ,fɐsɔŋ',,,
fasoŋ,[fʌsɔŋ],nom,,
fasoo,fɐsɔ:,,,
faste,fɐstɛ,,,
fasu,fɐsu,,,
fasu-jiit,fɐsuɟi:t',,,
fas-yéeyne,fɐsje:jnɛ,,,
fat,fɐt',,,
fat,[fʌt],verbe,,
fataaya,fɐta:jɐ,,,
fatig,fɐtig',,,
fatliku,[fʌtliku],verbe,,
fatt,fɐtʰ,,,
fatt,[fʌt:],verbe,,
fàtt,,,,
fàttali,fat:ɐli,,,
fàttali,[fat:ʌli],verbe,,
fàttaliku,fat:ɐliku,,,
fàttaliku,[fat:ʌliku],verbe,,
fattarñi,fɐt:ɐrɲi,,,
fàtte,fat:ɛ,,,
fàtte,[fat:e],verbe,,
fattu,fɐt:u,,,
fattu,[fʌt:u],verbe,,
fatu,fɐtu,,,
fatuwaale,fɐtuwa:lɛ,,,
faw,fɐw,,,
fàww,fawᵊ,,,
fàww,[faw:],adverbe,,
faxaj,fɐxɐɟ',,,
faxas,fɐxɐs,,,
faxas,[fʌxʌs],verbe,,
faxasit,fɐxɐsit',,,
faxasu,fɐxɐsu,,,
fay,fɐj,,,
fay,[fʌj],verbe,,
fayda,fɐjdɐ,nom,,
fayle,fɐjlɛ,,,
fayli,fɐjli,,,
fayyu,,,,
faηη,,,,
fébbandi,,,,
fecc,[fec:],verbe,,
feccali,[fec:ʌli],verbe,,
fecceeku,fɛc:ɛ:ku,adjectif,,
fecci,fɛc:i,verbe,,
fecciku,fɛc:iku,adjectif,,
fedd,fɛd:ᵊ,,,
fëdd,,,,
feddali,fɛd:ɐli,,,
feddali,[fed:ʌli],verbe,,
féddali,fed:ɐli,,,
fee,,,,
feebar,fɛ:bɐr,adjectif,,
feebar,[fe:bʌr],nom,,
feebar,[fe:bʌr],verbe,,
feek,fɛ:k',,,
féek,,,,
feeki,,,,
feela,fɛ:lɐ,nom,,
feeltoo,fɛ:ltɔ:,,,
feelu,fɛ:lu,,,
feem,fɛ:m',,,
feeñ,fɛ:ɲ',adjectif,,
feeñ,[fe:ɲ],verbe,,
feeñal,fɛ:ɲɐl,,,
feeñal,[fe:ɲʌl],verbe,,
feeñu,fɛ:ɲu,,,
feer,fɛ:r,,,
féer,fe:r,,,
féer,[fe:r],verbe,,
féeru,fe:ru,,,
fees,fɛ:s,,,
fees,[fe:s],verbe,,
feesal,fɛ:sɐl,,,
féetale,fe:tɐlɛ,,,
féete,fe:tɛ,,,
féeté,[fe:te],verbe,,
féetewoo,fe:tɛwɔ:,,,
féewale,fe:wɐlɛ,,,
féewalé,[fe:wʌle],verbe,,
féewaloo,fe:wɐlɔ:,,,
feex,fɛ:x,,,
féex,fe:x,,,
féex,[fe:x],verbe,,
féexlu,fe:xlu,,,
féey,fe:j,,,
féey,[fe:j],verbe,,
fef,,,,
feg,fɛg',,,
fég,feg',,,
fégal,fegɐl,,,
fëgës,fəgəs,,,
fëgësu,fəgəsu,,,
fegg,fɛgᵊ,,,
fegg,[feg:],verbe,,
fëgg,fəgᵊ,,,
fëgg,[fəg:],verbe,,
fëggës,fəg:əs,,,
fëggësu,fəg:əsu,,,
fëggëtu,fəg:ətu,,,
fëgg-jaay,fəg:ɟa:j,,,
feggu,,,,
fëggu,fəg:u,,,
fegu,fɛgu,,,
fej,fɛɟ',,,
fejar,,,,
fejat,fɛɟɐt',,,
fejat,[feɉʌt],verbe,,
fëj-fëji,fəɟfəɟi,,,
fëjj,fəɟᵊ,,,
fek,,,,
fekk,fɛkʰ,,,
fekk,[fek:],verbe,,
fëkk,fəkʰ,,,
fekke,fɛk:ɛ,,,
fekke,[fek:e],verbe,,
fekki,fɛk:i,,,
fekksi,fɛk:si,,,
fekku,,,,
fëkku,,,,
fel,fɛl,,,
fel,[fel],nom,,
fél,fel,,,
fël,fəl,,,
felasu,fɛlɐsu,,,
felasu,[felʌsu],verbe,,
felax,,,,
fëlaxoo,fəlɐxɔ:,,,
fële,,,,
feleef,,,,
feleesu,fɛlɛ:su,,,
fëlëñu,fələɲu,,,
fell,[fel:],,,
fëll,fəlᵊ,,,
fëll,[fəl:],verbe,,
féllaη,,,,
fellit,fɛl:it',,,
feltu,,,,
fen,fɛn',,,
fen,[fen],verbe,,
feñ,,,,
fenantal,fɛnɐntɐl,,,
fénc,feɲcʰ,,,
fënd,,,,
fendi,fɛndi,,,
fendi,[fendi],verbe,,
feneen,fɛnɛ:n',,,
fenetal,fɛnɛtɐl,,,
fënëtal,fənətɐl,,,
fënëx,fənəx,,,
fënëx,[fənəx],verbe,,
fenk,fɛŋkʰ,,,
fenk,[feŋk],verbe,,
fenku,fɛŋku,,,
fenku,[feŋku],verbe,,
fenn,fɛnᵊ,,,
fëññ,,,,
fenq,,,,
fénqale,,,,
fénqoo,feNqɔ:,,,
fent,fɛntʰ,,,
fent,[fent],verbe,,
fentaakoon,fɛnta:kɔ:n',,,
fentkat,fɛntkɐt',,,
fep,,,,
fepp,fɛpʰ,,,
fepp,[fep:],nom,,
fépp,fepʰ,,,
fepptu,,,,
feq,fɛq',,,
feq,[feq],verbe,,
féq,feq',,,
féq,[feq],verbe,,
fëq,fəq',,,
fëq,[fəq],verbe,,
féqatu,feqɐtu,,,
fëqle,fəqlɛ,,,
fëqle,[fəqle],verbe,,
féqoo,,,,
féqte,feqtɛ,,,
féqu,fequ,,,
fëqul,,,,
fer,fɛr,,,
fer,[fer],nom,,
fer,[fer],verbe,,
fér,,,,
fër,fər,,,
feral,fɛrɐl,,,
feral,[ferʌl],verbe,,
ferasu,fɛrɐsu,,,
ferenkulaayu,fɛrɛŋkula:ju,,,
fereŋlaayu,fɛrɛŋla:ju,,,
feret,fɛrɛt',,,
feri,fɛri,,,
fëriñ,fəriɲ',,,
fermtiir,fɛrmti:r,,,
ferñent,fɛrɲɛntʰ,,,
fërr,fərᵊ,,,
fërrët,,,,
fërtët,fərtət,,,
fes,,,,
fés,fes,,,
fés,[fes],verbe,,
fët,,,,
fetal,[fetʌl],,,
fetal,[fetʌl],nom,,
fétal,,,,
fete,fɛtɛ,,,
fete,[fete],verbe,,
feteñ,fɛtɛɲ',,,
fet-feti,fɛtfɛti,,,
fett,fɛtʰ,,,
fett,[fet:],nom,,
fett,[fet:],verbe,,
fétt,fetʰ,,,
fétt,[fet:],verbe,,
fëtt,fətʰ,,,
fettasu,fɛt:ɐsu,,,
fettax,fɛt:ɐx,,,
fettax,[fet:ʌx],verbe,,
fette,fɛt:ɛ,,,
few,fɛw,,,
feww,,,,
féww,,,,
fëx,fəx,,,
fëxal,fəxɐl,,,
fexe,fɛxɛ,,,
fexe,[fexe],verbe,,
fëxës,fəxəs,,,
fëxësit,fəxəsit',,,
fëxësu,fəxəsu,,,
fey,fɛj,,,
fey,[fej],verbe,,
fëy,,,,
fëyy,,,,
feyyeeku,fɛjɛ:ku,,,
feyyiku,fɛj:iku,,,
feyyu,[fej:u],,,
fi,fi,,,
ficcatiku,,,,
ficci,,,,
ficciku,,,,
fiddali,,,,
fiddi,fid:i,,,
fiddiwal,,,,
fidiwël,fidiwəl,,,
fidiwol,[fidiwɔl],nom,,
fifi,fifi,,,
fiftin,fiftin',,,
fiftin,[fiftin],nom,,
figg,,,,
fii,fi:,,,
fii ak,fi:ɐk',,,
fiij,,,,
fiik,,,,
fiil,,,,
fiipa,,,,
fiir,fi:r,,,
fiir,[fi:r],nom,,
fiir,[fi:r],verbe,,
fiire,fi:rɛ,,,
fiiriir,fi:ri:r,,,
fiiru,fi:ru,,,
fiit,fi:t',,,
fiit,[fi:t],verbe,,
fiitu,fi:tu,,,
fiiw,,,,
fij,,,,
file,,,,
fileek,filɛ:k',,,
fi-mu-nekk,fimunɛkʰ,,,
fiñaag,,,,
findfeer,findfɛ:r,,,
findifeer,findfɛ:r,,,
fippu,fip:u,,,
firdooki,,,,
firgaat,firga:t',,,
firi,firi,,,
firi,[firi],verbe,,
firiku,firiku,,,
firisideer,firisidɛ:r,,,
firnde,firndɛ,,,
firndé,[firnde],nom,,
firndeel,firndɛ:l,,,
fit,fit',,,
fit,[fit],nom,,
fital,fitɐl,,,
fitax,,,,
fitna,fitnɐ,,,
fitna,[fitnʌ],nom,,
fitnaal,fitna:l,,,
fitt,fitʰ,,,
fitt,[fit:],nom,,
fittax,fit:ɐx,,,
fitti,fit:i,,,
fitu,,,,
fo,fɔ,,,
fo,[fɔ],verbe,,
fóbbanti,fob:ɐnti,,,
fóbbri,,,,
fóbbu,fob:u,,,
fobeere,fɔbɛ:rɛ,,,
focc,fɔcʰ,,,
focci,fɔc:i,,,
focci,[fɔc:i],verbe,,
fodd,fɔdᵊ,,,
foddat,fɔd:ɐt',,,
fof,fɔf,,,
fof,[fɔf],nom,,
fof,[fɔf],verbe,,
fof-fof,fɔffɔf,,,
fogaru,fɔgɔru,,,
fogoru,fɔgɔru,,,
fogoru,[fɔgɔru],verbe,,
fojjet,fɔɟ:ɛt',,,
fok,fɔk',,,
fokat,fɔkɐt',,,
fokk,fɔkʰ,,,
fokki,fɔk:i,,,
folet,fɔlɛt',,,
folli,fɔl:i,,,
folli,[fɔl:i],verbe,,
fóloori,,,,
fomm,[fɔm:],,,
fomp,fɔmpʰ,,,
